Scene,Day,Order Priority,Day/Night,Name,Profile Image,Dialogue,Normal UI,Alignment,Font Style,Options,Option Number,Talk Again
Meet Duckette,1,3,Day,Main Duck,2,The ONLY other reason why I picked this job. I can’t waste my chances.,TRUE,Left,Italics,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,Hello Duckette! What were the odds that we both got a job at Nestla after graduation?,TRUE,Left,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Duckette,4,"Uhh, and you are?",TRUE,Right,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,STRIKE ONE!,TRUE,Left,Italics,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,Don’t you remember me? I’m Main Duck. We both went to Purduck University and studied mechanical engineering.,TRUE,Left,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Duckette,4,"Hmm, are you sure? I don’t recall.",TRUE,Right,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,STRIKE 2!,TRUE,Left,Italics,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,We were in that ME 365 together last year.,TRUE,Left,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Duckette,4,Oh... maybe.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,AND STRIKE 3! SHE OFFICIALLY DOES NOT REMEMBER ME!,TRUE,Left,Italics,FALSE,0,FALSE
Meet Duckette,1,3,Day,Main Duck,2,"H-Heh, well, I’m excited to be working with you. I hope we’re on the same project!",TRUE,Left,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Duckette,4,Uh ok! It was nice to meet you.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Duckette,1,3,Day,Duckette,4,Oh! Did you need anything?,TRUE,Right,Normal,FALSE,0,TRUE
Meet Duckette,1,3,Day,Main Duck,2,"I need your number, but my beak feels like it's glued shut at the moment",TRUE,Left,Italics,FALSE,0,TRUE
Meet Duckette,1,3,Day,Main Duck,2,"Uh... no, just saying hi.",TRUE,Left,Normal,FALSE,0,TRUE
Meet Donald,1,3,Day,Donald,5,You the new duck?,TRUE,Right,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Main Duck,2,"Yup, that’s me! My name is Main Duck.",TRUE,Left,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Donald,5,I would quit if I were you.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Main Duck,2,What? Why?,TRUE,Left,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Donald,5,"You’re just like everyone else... dreaming of working for the Elon Duck at Nestla. But everyone is disappearing, flying away like flying cars.",TRUE,Right,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Main Duck,2,"Uh, what do you mean that-",TRUE,Left,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Donald,5,We just hired someone last week. Now they’re gone. The duck we hired the week prior is gone too.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Donald,5,And yesterday I could’ve sworn I saw blood in the manufacturing room. Are we really making flying cars?,TRUE,Right,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Main Duck,2,What is this duck talking about? I should probably just leave.,TRUE,Left,Italics,FALSE,0,FALSE
Meet Donald,1,3,Day,Main Duck,2,"Uh, I don’t know. But it was nice meeting you? I’m just gonna... go now.",TRUE,Left,Normal,FALSE,0,FALSE
Meet Donald,1,3,Day,Donald,5,Try to stay alive duck.,TRUE,Right,Normal,FALSE,0,TRUE
Meet Donald,1,3,Day,Main Duck,2,That’s not ominous at all,TRUE,Left,Italics,FALSE,0,TRUE
Meet Quackson,1,3,Day,Main Duck,2,"Argh, I really REALLY got to use the restroom. Why are all the open stalls so dirty?!",TRUE,Left,Italics,FALSE,0,FALSE
Meet Quackson,1,3,Day,Main Duck,2,Let me see if this first stall is open.,TRUE,Left,Italics,FALSE,0,FALSE
Meet Quackson,1,3,Day,Main Duck,2,(Knocks on stall door) Hello? Anyone there?,TRUE,Left,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Quackson,6,What the quack are you doing? Find a different stall.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Main Duck,2,I can’t use the other stalls! Have you seen the sorry state they’re in?,TRUE,Left,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Quackson,6,So? I’m busy.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Main Duck,2,Wait... is that Angry Ducks?,TRUE,Left,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Quackson,6,No.,TRUE,Right,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Quackson,6,(Flushes toilet).,TRUE,Right,Normal,FALSE,0,FALSE
Meet Quackson,1,3,Day,Quackson,6,Stall is taken!,TRUE,Right,Normal,FALSE,0,TRUE
Meet Quackson,1,3,Day,Main Duck,2,...I know.,TRUE,Left,Normal,FALSE,0,TRUE
Try to Stay Overnight,1,1,Night,Main Duck,2,"Wow, it’s already nighttime! My first day flew by fast.",TRUE,Left,Italics,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,"Everyone’s already gone too, even Duckette. Might as well pack up then and get ready to...",TRUE,Left,Italics,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,WAIT! Everyone is gone! That means... I have the whole office to myself! I’ve always wanted to explore the Nestla Office at night.,TRUE,Left,Italics,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,"I can get all the drinks I want from the vending machine, I can finally use the quacking bathroom, and I can take a peep at Duckette’s desk. And there’s no one here to stop me!",TRUE,Left,Italics,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Janitor,7,Please leave.,TRUE,Right,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,AHH! Where did you come from?,TRUE,Left,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Janitor,7,Our closing time is 7:00pm. Please leave so I can clean.,TRUE,Right,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,"Uhh well, can you make one exception? Pretty please? Just give me five minutes?",TRUE,Left,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Janitor,7,No. Leave or else I’ll have to kick you out.,TRUE,Right,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,Looks like they’re not changing their mind anytime soon. I guess they’re pretty strict with their closing hours.,TRUE,Left,Italics,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Main Duck,2,"Fineee, have a good night.",TRUE,Left,Normal,FALSE,0,FALSE
Try to Stay Overnight,1,1,Night,Janitor,7,Goodnight. I encourage you to remember our closing hours next time.,TRUE,Right,Normal,FALSE,0,FALSE
